             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          499.2177940901
          20.0000000000         2049.6017154389
          30.0000000000         4706.6364526014
          40.0000000000         8577.1194632074
          50.0000000000        13472.8470410923
          60.0000000000        19057.6501844103
          70.0000000000        24828.3964785424
          80.0000000000        30116.8962097298
          90.0000000000        34154.6156848929
         100.0000000000        14887.2983328136
         110.0000000000        12300.6243663846
         120.0000000000         9196.6507883839
         130.0000000000         6138.5893263528
         140.0000000000         3638.7301381293
         150.0000000000         1988.5483416246
         160.0000000000         1179.4401739026
         170.0000000000         1013.5689693102
         180.0000000000         1308.2865794324
         190.0000000000         2030.9449134501
         200.0000000000         3068.5897164574
         210.0000000000         4258.7839377742
         220.0000000000         5410.6117296110
         230.0000000000         6369.0793333211
         240.0000000000         7043.7829124410
         250.0000000000         7335.2764088062
         260.0000000000         7216.6300701093
         270.0000000000         6697.2668156834
         280.0000000000         5864.0513081513
         290.0000000000         4824.3979976515
         300.0000000000         3719.3776173195
         310.0000000000         2663.4304547870
         320.0000000000         1696.1542989294
         330.0000000000          911.9227422503
         340.0000000000          428.7493778069
         350.0000000000          358.3807306572
         360.0000000000          805.6004999942
