             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1418.3501589697
          20.0000000000         5493.2650906723
          30.0000000000        10790.6705173700
          40.0000000000        15925.5470008196
          50.0000000000        19692.5905681219
          60.0000000000        21344.4736884517
          70.0000000000        20505.8995356665
          80.0000000000        17414.3813290543
          90.0000000000        12910.8325415108
         100.0000000000         7769.7309977644
         110.0000000000         3189.9928298046
         120.0000000000          531.2620197612
         130.0000000000          746.3298406846
         140.0000000000         3739.3891772354
         150.0000000000         8626.1139160979
         160.0000000000        14230.7763403087
         170.0000000000        19253.1212743365
         180.0000000000        22588.4512743492
         190.0000000000        23688.3151730178
         200.0000000000        22677.4872255253
         210.0000000000        19857.5165927617
         220.0000000000        15477.9124024147
         230.0000000000        10818.2487678508
         240.0000000000         7926.0558849400
         250.0000000000         7821.9994489786
         260.0000000000        10485.6872027171
         270.0000000000        15128.9467142264
         280.0000000000        20411.9617763062
         290.0000000000        25009.5953512889
         300.0000000000        27500.4464493966
         310.0000000000        26544.5544609714
         320.0000000000        13356.0306759948
         330.0000000000         7713.0910893999
         340.0000000000         3096.3176204892
         350.0000000000         1030.1201204436
         360.0000000000         2751.2061660761
