             angle (deg)             energy (J/mol)
           0.0000000000           46.4897260982
          10.0000000000          690.6797457460
          20.0000000000         2448.6409368902
          30.0000000000         4955.8987836738
          40.0000000000         7581.4669049953
          50.0000000000         9563.1075567139
          60.0000000000        10257.5286397412
          70.0000000000         9433.9093341926
          80.0000000000         7386.8386005654
          90.0000000000         4777.1573787742
         100.0000000000         2315.3390582078
         110.0000000000          614.3118314366
         120.0000000000           46.3689530388
         130.0000000000          707.7402438381
         140.0000000000         2506.9401613771
         150.0000000000         5037.4651877972
         160.0000000000         7647.0256365289
         170.0000000000         9592.7520755211
         180.0000000000        10271.2363744513
         190.0000000000         9433.4052381781
         200.0000000000         7367.5543040306
         210.0000000000         4743.1676576871
         220.0000000000         2270.9786125123
         230.0000000000          559.5570318839
         240.0000000000            0.0000000000
         250.0000000000          734.2866728918
         260.0000000000         2614.6014085784
         270.0000000000         5215.7392537393
         280.0000000000         7849.7956160310
         290.0000000000         9742.3819379703
         300.0000000000        10281.1555129347
         310.0000000000         9332.0845730903
         320.0000000000         7252.7096893685
         330.0000000000         4682.0355189638
         340.0000000000         2285.2954633146
         350.0000000000          633.1471674678
         360.0000000000           57.8686424371
