             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          683.9453386398
          20.0000000000         2399.5152090519
          30.0000000000         4837.9692064696
          40.0000000000         7354.4163027343
          50.0000000000         9119.6816345478
          60.0000000000         9558.5706928818
          70.0000000000         8581.0550876622
          80.0000000000         6471.2664134526
          90.0000000000         3893.8814654888
         100.0000000000         1642.2554123827
         110.0000000000          306.3039409951
         120.0000000000          106.4745212791
         130.0000000000          916.0185221444
         140.0000000000         2492.2242346379
         150.0000000000         4642.6136385094
         160.0000000000         6867.5199796128
         170.0000000000         8708.6228747018
         180.0000000000        10733.3663575517
         190.0000000000        10738.9166642078
         200.0000000000         9932.4444982258
         210.0000000000         9439.2863577505
         220.0000000000         9053.4849065797
         230.0000000000         9239.9767870309
         240.0000000000         9954.5328285056
         250.0000000000        11427.8425760899
         260.0000000000        13684.5647242551
         270.0000000000        15722.0891403164
         280.0000000000        16689.2130171508
         290.0000000000        16206.9743307717
         300.0000000000        14406.0389578227
         310.0000000000        11941.6712768415
         320.0000000000         9593.3270600283
         330.0000000000         9450.9934616828
         340.0000000000         9058.9748267807
         350.0000000000         9234.3713448639
         360.0000000000         9893.8233952665
