             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          631.1150304280
          20.0000000000         2253.5899269761
          30.0000000000         4841.8523208855
          40.0000000000         7567.0739147562
          50.0000000000        10544.9079776092
          60.0000000000        13286.5993322321
          70.0000000000        15569.6132361209
          80.0000000000        17189.9746052481
          90.0000000000        18210.2044676998
         100.0000000000        18886.0160076837
         110.0000000000        19323.0855946052
         120.0000000000        19643.5751113054
         130.0000000000        19801.2547562589
         140.0000000000        19891.3435329374
         150.0000000000        19977.5912033505
         160.0000000000        20104.0063960528
         170.0000000000        20236.2475728166
         180.0000000000        20445.4263976021
         190.0000000000        20801.1264928966
         200.0000000000        21255.0281594503
         210.0000000000        21675.6253601475
         220.0000000000        21849.7012518885
         230.0000000000        21693.5207671703
         240.0000000000        21147.9865302295
         250.0000000000        20163.5973662410
         260.0000000000        18784.6428327063
         270.0000000000        17109.4715285155
         280.0000000000        15227.4712221348
         290.0000000000        13196.7153446155
         300.0000000000        10966.7575419263
         310.0000000000         8556.1968549239
         320.0000000000         6135.4702325242
         330.0000000000         3803.3647323820
         340.0000000000         1712.4927845847
         350.0000000000          535.0716202123
         360.0000000000           69.2659372299
