             angle (deg)             energy (J/mol)
           0.0000000000          252.2265204059
          10.0000000000         2162.3380539227
          20.0000000000         8836.7919012681
          30.0000000000        19712.0402710403
          40.0000000000        32264.1980258855
          50.0000000000        43514.3756519762
          60.0000000000        50767.5448037367
          70.0000000000        52477.5459890388
          80.0000000000        48441.1602677275
          90.0000000000        40794.5652132483
         100.0000000000        32407.2431347794
         110.0000000000        26612.5522818980
         120.0000000000        25495.7145266119
         130.0000000000        29035.3819296811
         140.0000000000        32389.2006996777
         150.0000000000        35502.4265392359
         160.0000000000        39607.4979623257
         170.0000000000        43329.8633985260
         180.0000000000        45506.8281120919
         190.0000000000        45574.3769723657
         200.0000000000        43444.0726423749
         210.0000000000        39467.6323338647
         220.0000000000        34551.1554306453
         230.0000000000        29631.7038359055
         240.0000000000        25695.4783087792
         250.0000000000        23296.6851121642
         260.0000000000        23182.5467568080
         270.0000000000        25157.5291408572
         280.0000000000        28011.5498813123
         290.0000000000        29878.4378106383
         300.0000000000        29602.5791660947
         310.0000000000        26798.8262457776
         320.0000000000        21736.9439093295
         330.0000000000        15208.1422921266
         340.0000000000         8405.1124655633
         350.0000000000         2749.6492447085
         360.0000000000            0.0000000000
