             angle (deg)             energy (J/mol)
           0.0000000000           26.5858115828
          10.0000000000          508.6853464486
          20.0000000000         1673.2993227395
          30.0000000000         3264.7854442925
          40.0000000000         4908.6266586836
          50.0000000000         6216.0520741658
          60.0000000000         6956.1726076846
          70.0000000000         7018.6936357707
          80.0000000000         6530.3349091724
          90.0000000000         5810.1261665852
         100.0000000000         5164.0746673745
         110.0000000000         4921.0741535067
         120.0000000000         5291.4534184833
         130.0000000000         6296.8597087953
         140.0000000000         7939.9237750894
         150.0000000000         9885.9547721276
         160.0000000000        11436.6878849958
         170.0000000000        12174.8550466822
         180.0000000000        11863.2108390371
         190.0000000000        10787.0289490729
         200.0000000000         9444.9784413921
         210.0000000000         8273.2362331515
         220.0000000000         7459.4625521215
         230.0000000000         7011.2503437373
         240.0000000000         6844.3709472651
         250.0000000000         6880.4610682635
         260.0000000000         6973.7897116808
         270.0000000000         7011.0140487118
         280.0000000000         6792.8665164889
         290.0000000000         5961.2158068900
         300.0000000000         4499.3611152308
         310.0000000000         2893.7655574094
         320.0000000000         1534.4130056668
         330.0000000000          710.5206481850
         340.0000000000          508.7956174705
         350.0000000000          183.5093125145
         360.0000000000            0.0000000000
