             angle (deg)             energy (J/mol)
           0.0000000000           37.5498990031
          10.0000000000          558.8245174094
          20.0000000000         2246.7137428844
          30.0000000000         4645.8114973963
          40.0000000000         7202.8435704902
          50.0000000000         9223.1289544170
          60.0000000000        10092.1772841452
          70.0000000000         9574.5521104521
          80.0000000000         7811.0642421991
          90.0000000000         5315.6316467860
         100.0000000000         2797.5829955312
         110.0000000000          893.4444743039
         120.0000000000           54.1509345540
         130.0000000000          426.3286670171
         140.0000000000         1916.4652431401
         150.0000000000         4229.6592678141
         160.0000000000         6856.1725690882
         170.0000000000         9098.8666716647
         180.0000000000        10108.3792437592
         190.0000000000         9477.6659147402
         200.0000000000         7482.1022373613
         210.0000000000         4862.4414906315
         220.0000000000         2417.2452095420
         230.0000000000          684.6069646215
         240.0000000000            0.0000000000
         250.0000000000          490.6691665156
         260.0000000000         1989.9293547204
         270.0000000000         4202.8319102616
         280.0000000000         6751.0370527544
         290.0000000000         9008.1005160227
         300.0000000000        10115.1635352829
         310.0000000000         9594.6398099542
         320.0000000000         7660.4156858325
         330.0000000000         4986.3046974469
         340.0000000000         2441.0794972695
         350.0000000000          666.0158000320
         360.0000000000           45.5786775813
