             angle (deg)             energy (J/mol)
          -0.0000000000            0.0000000000
         -10.0000000000         2143.8781644302
         -20.0000000000         7513.8025227556
         -30.0000000000        14279.6447691956
         -40.0000000000        21059.6095794137
         -50.0000000000        26608.7453070682
         -60.0000000000        30080.1995982606
         -70.0000000000        31398.5785991254
         -80.0000000000        31474.3689036048
         -90.0000000000        31614.3631815415
        -100.0000000000        33162.3552725919
        -110.0000000000        36682.0452471809
        -120.0000000000        41724.2468366294
        -140.0000000000        52794.8008899444
        -150.0000000000        57494.6162939650
        -160.0000000000        60188.1481046282
        -170.0000000000        60109.2387063202
        -180.0000000000        56394.3296898122
        -190.0000000000        49321.2593263505
        -200.0000000000        40207.5874610000
        -210.0000000000        30923.5731647736
        -220.0000000000        23299.0375600827
        -230.0000000000        19244.6094038190
        -240.0000000000        20465.3145589864
        -250.0000000000        26829.3686857412
        -260.0000000000        36306.0920460009
        -270.0000000000        46514.8782807096
        -280.0000000000        53899.7766368031
        -290.0000000000        57802.5401682548
        -300.0000000000        56467.4078528161
        -310.0000000000        49216.4073639875
        -320.0000000000        37305.2864035258
        -330.0000000000        23328.9656330099
        -340.0000000000        10830.0346368413
        -350.0000000000         2718.7287328833
        -360.0000000000           26.2786280647
