             angle (deg)             energy (J/mol)
         250.0000000000          393.6280661592
         260.0000000000         2093.2690290398
         270.0000000000         4658.3062511647
         280.0000000000         7488.2432815064
         290.0000000000         9765.9011656141
         300.0000000000        10847.0084933097
         310.0000000000        10349.7046886720
         320.0000000000         8472.7427163674
         330.0000000000         5816.9183346745
         340.0000000000         3092.2323426327
         350.0000000000         1001.1818609422
         360.0000000000            0.0000000000
