             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000         1227.6102197507
          20.0000000000         5682.7946744218
          30.0000000000        13092.8531956784
          40.0000000000        22047.5195384905
          50.0000000000        30418.4059879412
          60.0000000000        36247.2545940638
          70.0000000000        38668.9395239258
          80.0000000000        38034.6292600831
          90.0000000000        35351.4497952759
         100.0000000000        32201.1545233310
         110.0000000000        30087.8109222988
         120.0000000000        29952.6134326178
         130.0000000000        31951.7845467089
         140.0000000000        35773.1470805700
         150.0000000000        40762.1875488904
         160.0000000000        45794.7850599392
         170.0000000000        49489.6247556975
         180.0000000000        50720.1098976859
         190.0000000000        49006.5511602384
         200.0000000000        44289.5387322337
         210.0000000000        37211.8684930126
         220.0000000000        29077.8808958136
         230.0000000000        21630.5323999775
         240.0000000000        16424.8041774389
         250.0000000000        14119.1190821975
         260.0000000000        14287.3663642557
         270.0000000000        15780.5301416394
         280.0000000000        17482.9068752443
         290.0000000000        18406.5682275397
         300.0000000000        17899.4345513653
         310.0000000000        15744.8522240876
         320.0000000000        12306.1037845480
         330.0000000000         8256.4960460873
         340.0000000000         4340.6128917931
         350.0000000000         1317.2027768309
         360.0000000000            2.5703643408
